newid;admin2;month;year;amount;comm;ym;_freq;fatalities;conflict;battles;explosions;protests;riots;strategic_developments;va_civilians;remit;pop;logpop;freq;lag1conf;lag2conf;lag1exp;lag2exp;lag1battles;lag2battles;lag1sd;lag2sd;lag1va;lag2va;pcode;rfe;ndvi;precipitation;tdi;vdi;cdi;logcdi;logpdi;district_avg;temp;temp_anomaly;drought_category;drought_dummy;normal;conflict_affected;dconflict8;event;sd;yd;dconflict;dexp3;dbattles;sdummy;dva3;violent;violent1;_est_first;_est_second
1;Afgooye;1;2017;44022;2240,28;2017m1;260;57;22;10;6;0;0;0;6;10,69244;238655;12,38277;5,560682;;;;;;;;;;;2302;0;0,352333;0,19;0,53;0,74;0,27;-1,309333;-1,660731;37,36931;39,8553;2,48595;1;1;0;1;1;1;0;684;1;1;1;0;1;22;1;1;1
1;Afgooye;2;2017;39168;2123,19;2017m2;241;24;15;10;3;0;0;0;2;10,57562;238655;12,38277;5,484797;22;;6;;10;;0;;6;;2302;1,104;0,234333;0,33;0,53;0,9;0,38;-0,967584;-1,108663;37,36931;41,097;3,727673;1;1;0;1;1;1;0;685;1;1;1;0;0;15;1;1;1
1;Afgooye;3;2017;80571,7;3278,61;2017m3;275;8;9;4;1;0;0;0;4;11,2969;238655;12,38277;5,616771;15;22;3;6;10;10;0;0;2;6;2302;0;0,194333;0,41;0,48;0,72;0,43;-0,8439701;-0,8915981;37,36931;43,7751;6,405792;2;1;0;1;1;1;0;686;1;0;1;0;1;9;1;1;1
1;Afgooye;4;2017;60920;2982,55;2017m4;268;14;19;9;7;0;0;1;2;11,01732;238655;12,38277;5,590987;9;15;1;3;4;10;0;0;4;2;2302;82,622;0,221333;0,61;0,45;0,51;0,57;-0,5621189;-0,4942963;37,36931;43,6783;6,30896;2;1;0;1;1;1;1;687;1;1;1;1;0;19;1;1;1
1;Afgooye;5;2017;64759;3452,4;2017m5;372;47;21;13;3;0;0;1;4;11,07843;238655;12,38277;5,918894;19;9;7;1;9;4;1;0;2;4;2302;47,97;0,260667;0,46;0,51;0,54;0,47;-0,7550226;-0,7765288;37,36931;36,5732;-0,7960625;2;1;0;1;1;1;1;688;1;1;1;1;1;21;1;1;1
1;Afgooye;6;2017;82427;3697,38;2017m6;447;62;25;8;12;0;0;1;4;11,31967;238655;12,38277;6,102559;21;19;3;7;13;9;1;1;4;2;2302;14,657;0,348667;0,46;0,5;0,56;0,47;-0,7550226;-0,7765288;37,36931;35,1686;-2,200695;2;1;0;1;1;1;1;689;1;1;1;1;1;25;1;1;1
1;Afgooye;7;2017;49439;2467,78;2017m7;243;28;26;11;10;0;1;1;3;10,80849;238655;12,38277;5,493062;25;21;12;3;8;13;1;1;4;4;2302;0,126;0,288667;0,44;0,51;0,55;0,46;-0,7765288;-0,8209805;37,36931;33,3919;-3,977413;2;1;0;1;1;1;1;690;1;1;1;1;1;25;1;1;1
1;Afgooye;8;2017;59813;2894,04;2017m8;273;42;26;9;6;1;0;2;8;10,99898;238655;12,38277;5,609472;26;25;10;12;11;8;1;1;3;4;2302;17,757;0,246;0,46;0,52;0,54;0,48;-0,7339692;-0,7765288;37,36931;35,0424;-2,326897;2;1;0;1;1;1;1;691;1;1;1;1;1;25;1;1;1
1;Afgooye;9;2017;30175;1613,4;2017m9;214;69;28;6;13;2;0;3;4;10,31477;238655;12,38277;5,365976;26;26;6;10;9;11;2;1;8;3;2302;0,061;0,249667;0,45;0,54;0,53;0,48;-0,7339692;-0,7985078;37,36931;39,0366;1,667286;2;1;0;1;1;1;1;692;1;1;1;1;1;26;1;1;1
1;Afgooye;10;2017;50874;2666,78;2017m10;276;94;42;28;8;0;0;4;2;10,83711;238655;12,38277;5,620401;28;26;13;6;6;9;3;2;4;8;2302;36,679;0,234;0,34;0,53;0,53;0,39;-0,9416085;-1,07881;37,36931;41,1703;3,800949;1;1;0;1;1;1;1;693;1;1;1;1;0;42;1;1;1
1;Afgooye;11;2017;32017;1745,01;2017m11;222;127;23;11;7;0;0;3;2;10,37402;238655;12,38277;5,402678;42;28;8;13;28;6;4;3;2;4;2302;90,469;0,253333;0,6;0,49;0,51;0,58;-0,5447272;-0,5108256;37,36931;39,4024;2,033112;2;1;0;1;1;1;1;694;1;1;1;1;0;23;1;1;1
1;Afgooye;12;2017;42536;2112,63;2017m12;250;52;18;10;3;0;1;0;4;10,65811;238655;12,38277;5,521461;23;42;7;8;11;28;3;4;2;2;2302;0;0,381;0,72;0,48;0,48;0,66;-0,4155154;-0,328504;37,36931;37,4971;0,1278152;2;1;0;1;1;1;0;695;1;1;1;0;1;17;1;1;1
1;Afgooye;1;2018;47254;2435,53;2018m1;244;29;18;10;3;0;0;0;5;10,76329;262836;12,47929;5,497168;18;23;3;7;10;11;0;3;4;2;2302;0;0,289333;0,72;0,73;0,5;0,73;-0,3147107;-0,328504;37,36931;38,413;1,043648;2;1;0;1;1;1;0;696;1;1;1;0;1;18;1;1;1
1;Afgooye;2;2018;45420;2220;2018m2;227;38;32;17;9;1;0;2;3;10,72371;262836;12,47929;5,42495;18;18;3;3;10;10;0;0;5;4;2302;0;0,222;0,55;0,92;0,53;0,64;-0,4462871;-0,597837;37,36931;40,6508;3,281483;2;1;0;1;1;1;1;697;1;1;1;1;1;31;1;1;1
1;Afgooye;3;2018;73165,3;3204,24;2018m3;296;43;18;9;5;0;0;1;3;11,20048;262836;12,47929;5,69036;32;18;9;3;17;10;2;0;3;5;2302;11,952;0,213667;0,85;0,93;0,53;0,87;-0,1392621;-0,1625189;37,36931;41,5992;4,229881;3;0;0;1;1;1;1;698;1;1;1;1;1;18;1;1;1
1;Afgooye;4;2018;50892;2618,68;2018m4;236;28;13;6;5;0;0;0;2;10,83746;262836;12,47929;5,463832;18;32;5;9;9;17;1;2;3;3;2302;215,866;0,219667;1,88;1,01;0,53;1,66;0,5068176;0,6312718;37,36931;39,1076;1,738312;4;0;1;1;1;1;0;699;1;1;1;0;0;13;1;1;1
1;Afgooye;5;2018;88475,7;4085,66;2018m5;430;82;17;4;12;0;0;0;1;11,39048;262836;12,47929;6,063785;13;18;5;5;6;9;0;1;2;3;2302;161,591;0,411667;2,57;1,39;0,83;2,28;0,8241754;0,9439059;37,36931;32,7362;-4,633064;4;0;1;1;1;1;0;700;1;1;1;0;0;17;1;1;1
1;Afgooye;6;2018;57382;2638,01;2018m6;356;32;18;13;3;0;0;0;2;10,95749;262836;12,47929;5,874931;17;13;12;5;4;6;0;0;1;2;2302;14,743;0,529667;2,15;1,58;1,13;2,01;0,6981347;0,7654679;37,36931;28,7597;-8,609612;4;0;1;1;1;1;0;701;1;1;1;0;0;18;1;1;1
1;Afgooye;7;2018;49312;2367,67;2018m7;215;22;17;8;6;0;0;0;3;10,80592;262836;12,47929;5,370638;18;17;3;12;13;4;0;0;2;1;2302;17,322;0,509667;2,14;1,53;1,48;1,98;0,6830968;0,7608059;37,36931;31,4632;-5,906147;4;0;1;1;1;1;0;702;1;1;1;0;1;17;1;1;1
